1	1
5	5
5	82847
7	7
8	8
12	12
14	14
17	17
17	7405
17	84566
19	19
26	26
27	27
28	28
29	29
30	30
31	31
32	32
35	35
36	36
36	25202
36	40672
36	62177
36	71786
36	74066
36	80537
36	84456
40	40
45	45
50	50
51	51
52	52
55	55
56	56
57	57
64	64
65	65
66	66
67	67
70	70
71	71
74	74
75	75
77	77
78	78
81	81
85	85
87	87
90	90
90	20783
93	93
94	94
96	96
98	98
99	99
100	100
100	63291
102	102
103	103
103	27977
103	30999
103	32134
103	33548
103	43728
103	49565
103	58717
103	68355
103	69294
103	76027
103	81370
104	104
105	105
106	106
107	107
109	109
109	21465
111	111
112	112
113	113
114	114
116	116
117	117
118	118
118	2704
118	29983
118	31453
118	51923
118	67968
118	14350
118	24242
119	119
123	123
124	124
126	126
129	129
130	130
132	132
1894	1894
1896	1896
1896	4520
1896	9357
1896	9527
1896	11082
1896	11350
1896	13482
1896	18659
1896	19680
1896	20366
1896	22079
1896	24091
1896	31406
1896	32955
1896	33718
1896	35038
1896	38043
1896	38386
1896	44309
1896	44960
1896	46296
1896	48785
1896	52574
1896	55572
1896	58143
1896	59516
1896	61503
1896	68904
1896	72817
1896	74828
1896	80767
1896	83406
1896	86357
1897	1897
1898	1898
1899	1899
1901	1901
1907	1907
1908	1908
1909	1909
1910	1910
1911	1911
1913	1913
1914	1914
1916	1916
1917	1917
1922	1922
1923	1923
1924	1924
1931	1931
1932	1932
1932	4248
1932	4683
1932	9771
1932	14407
1932	15148
1932	15212
1932	17005
1932	17871
1932	22698
1932	23721
1932	23853
1932	24014
1932	26535
1932	27078
1932	30432
1932	30552
1932	30627
1932	32681
1932	32824
1932	33329
1932	33613
1932	34811
1932	35520
1932	36348
1932	37846
1932	39228
1932	40264
1932	41259
1932	41782
1932	42585
1932	45844
1932	48195
1932	52216
1932	53078
1932	53989
1932	57072
1932	57990
1932	58661
1932	61049
1932	61094
1932	62404
1932	63493
1932	65653
1932	66102
1932	68184
1932	69258
1932	70854
1932	71147
1932	77019
1932	77163
1932	78660
1932	85416
1932	5808
1932	46963
1932	41920
1932	47718
1932	56372
1932	65409
1932	70061
1932	85919
1932	5651
1932	14019
1932	29914
1935	1935
1938	1938
1939	1939
1942	1942
1943	1943
1943	33162
1943	36796
1943	45624
1943	49037
1944	1944
1945	1945
1946	1946
1950	1950
1950	53094
1950	78649
1950	84604
1951	1951
1952	1952
1952	875
1952	52134
1958	1958
1959	1959
1960	1960
1960	5495
1962	1962
1963	1963
1964	1964
1964	49391
1964	50911
1964	69275
1964	76494
1965	1965
1966	1966
1968	1968
1968	13282
1970	1970
1971	1971
1971	10267
1971	35229
1973	1973
1975	1975
1976	1976
1976	21773
1976	22918
1976	38516
1976	52112
1978	1978
1979	1979
1979	4197
1979	17407
1979	72248
1980	1980
1981	1981
1982	1982
1985	1985
1989	1989
1991	1991
1992	1992
